fam,x,y,z
1_17_12,643441.401,3408861.828,59.500
1_18_5,643435.673,3408841.574,61.176
1_14_2,643441.922,3408839.742,60.941
1_14_8,643447.587,3408838.382,64.252
1_14_16,643453.416,3408836.704,66.245
1_14_12,643458.708,3408834.476,66.546
1_10_7,643474.877,3408829.745,68.804
1_10_2,643480.354,3408828.094,69.398
1_10_13,643486.154,3408826.256,70.435
1_6_14,643498.105,3408822.650,63.858
1_6_17,643504.102,3408820.431,64.280
1_6_4,643511.250,3408819.761,65.325
1_2_4,643533.224,3408812.857,62.918
1_2_11,643550.962,3408808.418,65.820
1_2_14,643548.499,3408801.840,66.531
1_2_16,643531.687,3408806.611,71.200
1_6_13,643520.126,3408809.808,64.326
1_6_11,643513.583,3408812.066,64.619
1_6_10,643507.553,3408813.135,70.263
1_6_18,643502.191,3408814.595,64.035
1_10_11,643490.173,3408817.244,62.439
1_10_20,643485.098,3408818.804,62.434
1_10_6,643478.177,3408820.515,62.849
1_10_9,643473.419,3408822.478,62.973
1_10_5,643466.865,3408824.322,69.483
1_14_5,643446.074,3408831.561,64.373
1_14_10,643440.833,3408832.401,62.910
1_14_9,643438.157,3408826.204,61.249
1_14_1,643443.762,3408824.523,65.327
1_10_8,643471.443,3408815.460,60.262
1_10_17,643476.762,3408813.648,65.913
1_10_4,643482.492,3408812.192,61.859
1_6_1,643494.329,3408809.957,68.327
1_6_15,643500.192,3408808.184,66.785
1_6_16,643518.221,3408803.541,70.427
1_2_3,643529.374,3408799.668,68.572
1_2_8,643540.832,3408796.980,63.492
1_2_9,643547.082,3408795.053,64.208
1_2_10,643544.954,3408788.639,64.328
1_2_19,643528.172,3408792.453,65.631
1_6_6,643515.845,3408796.533,68.526
1_6_8,643491.495,3408803.534,66.658
1_10_15,643480.785,3408805.529,69.178
1_10_18,643475.402,3408807.340,67.248
1_10_19,643473.071,3408811.332,68.044
1_10_1,643463.834,3408811.112,66.381
1_14_3,643436.722,3408819.560,63.173
1_15_1,643439.687,3408811.347,64.930
1_15_16,643433.755,3408812.305,63.577
1_11_13,643467.027,3408802.663,62.762
1_7_11,643490.125,3408795.693,66.848
1_7_4,643501.611,3408793.293,66.407
1_7_2,643508.107,3408792.136,65.935
1_7_15,643514.422,3408790.177,69.119
1_3_14,643519.941,3408787.729,62.760
1_3_15,643524.684,3408785.781,65.845
1_3_11,643542.953,3408781.206,67.821
1_3_13,643541.007,3408774.347,66.219
1_3_3,643535.022,3408775.704,67.116
1_7_10,643511.803,3408783.310,68.056
1_7_13,643505.545,3408784.663,65.892
1_7_19,643489.063,3408788.720,64.638
1_11_12,643482.955,3408790.793,64.285
1_11_18,643477.217,3408792.823,66.183
1_11_7,643471.579,3408793.354,65.401
1_11_17,643466.159,3408795.644,65.745
1_11_5,643460.308,3408797.672,68.037
1_15_8,643433.042,3408805.639,63.803
1_15_15,643430.058,3408798.528,64.341
1_15_12,643435.621,3408797.581,65.203
1_15_7,643441.681,3408795.491,67.187
1_11_16,643458.492,3408790.736,65.817
1_11_6,643463.910,3408788.702,65.164
1_11_10,643481.261,3408784.337,64.271
1_7_5,643492.756,3408781.330,63.388
1_7_18,643503.287,3408778.375,66.524
1_3_10,643516.429,3408774.465,68.720
1_3_19,643527.796,3408771.393,67.967
1_3_17,643533.601,3408769.172,66.785
1_3_5,643539.302,3408767.556,66.948
1_3_18,643537.268,3408761.272,66.545
1_3_8,643531.286,3408762.405,66.202
1_3_4,643525.233,3408763.984,66.263
1_3_2,643519.755,3408765.730,67.938
1_3_12,643514.173,3408768.049,67.617
1_15_5,643440.169,3408788.575,65.959
1_15_4,643433.753,3408790.915,65.062
1_15_13,643428.219,3408792.054,63.543
1_16_3,643426.616,3408784.786,53.727
1_16_8,643431.936,3408782.846,64.418
